,offense_type_id,offense_category_id,first_occurrence_date,reported_date,incident_address,geo_x,geo_y,geo_lon,geo_lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
386756,theft-parts-from-vehicle,theft-from-motor-vehicle,2023-10-02 21:00:00,2023-10-03 14:04:00,4369 S QUEBEC ST,3167799.0,1657740.0,-104.9041863,39.6377797,3,324,hampden-south,True,False,1
386627,criminal-mischief-other,public-disorder,2023-10-02 20:55:00,2023-10-03 07:48:00,6565 E ARIZONA AVE,3165490.0,1678766.0,-104.9119015,39.6955423,3,322,washington-virginia-vale,True,False,1
386832,theft-of-motor-vehicle,auto-theft,2023-10-02 20:00:00,2023-10-03 07:32:00,865 N GRAPE ST,3161742.0,1691472.0,-104.9249345,39.7304886,2,222,hale,True,False,1
386826,theft-of-motor-vehicle,auto-theft,2023-10-02 20:00:00,2023-10-03 10:04:00,2200 BLOCK N JULIAN ST,3131750.0,1698625.0,-105.0314363,39.7505978,1,121,sloan-lake,True,False,1
386683,disturbing-the-peace,public-disorder,2023-10-02 19:57:00,2023-10-02 22:27:00,3045 W CENTER AVE,3133406.0,1682417.0,-105.0258477,39.7060801,4,412,westwood,True,False,1
386700,assault-simple,other-crimes-against-persons,2023-10-02 19:57:00,2023-10-02 22:27:00,3045 W CENTER AVE,3133406.0,1682417.0,-105.0258477,39.7060801,4,412,westwood,True,False,1
386704,assault-simple,other-crimes-against-persons,2023-10-02 19:50:00,2023-10-02 21:50:00,1600 BLK E BRUCE RANDOLPH AVE,3149716.0,1703842.0,-104.9674335,39.7646476,2,211,cole,True,False,1
386856,theft-of-motor-vehicle,auto-theft,2023-10-02 19:23:00,2023-10-03 12:49:00,7930 E NORTHFIELD BLVD,3170025.0,1710878.0,-104.8950261,39.7836133,5,511,central-park,True,False,1
386855,theft-of-motor-vehicle,auto-theft,2023-10-02 19:00:00,2023-10-03 17:45:00,12200 E 52ND PL,3183572.0,1714044.0,-104.8467445,39.7920468,5,521,montbello,True,False,1
386840,theft-of-motor-vehicle,auto-theft,2023-10-02 19:00:00,2023-10-03 07:19:00,5002 N CATHAY ST,3206785.0,1712595.0,-104.7641844,39.787582,5,523,gateway-green-valley-ranch,True,False,1
386433,criminal-trespassing,all-other-crimes,2023-10-02 19:00:00,2023-10-02 22:41:00,1051 14TH ST,3141333.0,1696905.0,-104.9973892,39.7457355,6,611,cbd,True,False,1
386493,theft-shoplift,larceny,2023-10-02 18:54:00,2023-10-02 18:54:00,8316 E NORTHFIELD BLVD,3170975.0,1710072.0,-104.8916652,39.7813833,5,511,central-park,True,False,1
386379,criminal-mischief-mtr-veh,public-disorder,2023-10-02 18:50:00,2023-10-02 20:34:00,2600 BLK W COLORADO AVE,3135379.0,1674650.0,-105.0189816,39.6847294,4,422,ruby-hill,True,False,1
386731,threats-to-injure,public-disorder,2023-10-02 18:48:00,2023-10-03 20:26:00,14TH ST / LARIMER ST,3140645.0,1697481.0,-104.9998246,39.7473272,6,612,union-station,True,False,1
386639,criminal-mischief-mtr-veh,public-disorder,2023-10-02 18:45:00,2023-10-03 15:51:00,4343 N AIRPORT WAY,3197667.0,1707668.0,-104.7967639,39.7742551,5,522,gateway-green-valley-ranch,True,False,1
386833,theft-of-motor-vehicle,auto-theft,2023-10-02 18:37:00,2023-10-03 14:47:00,2225 E BUCHTEL BLVD,3151707.0,1674265.0,-104.9609756,39.6834208,3,313,university,True,False,1
386442,robbery-business,robbery,2023-10-02 18:30:00,2023-10-02 19:13:00,15 S STEELE ST,3154360.0,1686227.0,-104.9512928,39.7162155,3,311,cherry-creek,True,False,1
386733,burglary-residence-by-force,burglary,2023-10-02 18:30:00,2023-10-03 14:45:00,4684 N BROADWAY ST,3144111.0,1709996.0,-104.9872475,39.7816297,1,112,globeville,True,False,1
386849,theft-of-motor-vehicle,auto-theft,2023-10-02 18:30:00,2023-10-03 07:52:00,6792 N TOWER RD,3204654.0,1724265.0,-104.7714339,39.8196641,5,522,dia,True,False,1
386768,theft-parts-from-vehicle,theft-from-motor-vehicle,2023-10-02 18:30:00,2023-10-03 11:45:00,2 N ADAMS ST,3155219.0,1686428.0,-104.948235,39.716753,3,311,cherry-creek,True,False,1
386362,criminal-mischief-other,public-disorder,2023-10-02 18:30:00,2023-10-02 20:21:00,330 S KALAMATH ST,3141490.0,1684009.0,-104.9970848,39.7103311,3,312,baker,True,False,1
386473,menacing-felony-w-weap,aggravated-assault,2023-10-02 18:18:00,2023-10-02 19:54:00,18605 E GVR BLVD,3205114.0,1711659.0,-104.7701569,39.7850496,5,523,gateway-green-valley-ranch,True,False,1
386474,menacing-felony-w-weap,aggravated-assault,2023-10-02 18:15:00,2023-10-02 21:42:00,3450 W 13TH AVE,3131376.0,1693451.0,-105.032861,39.7363995,1,122,west-colfax,True,False,1
386703,assault-simple,other-crimes-against-persons,2023-10-02 18:07:00,2023-10-02 18:47:00,22ND ST / LAWRENCE ST,3143590.0,1699980.0,-104.9893015,39.7541424,6,611,five-points,True,False,1
386795,theft-from-bldg,larceny,2023-10-02 17:58:00,2023-10-02 20:35:00,4055 N ALBION ST,3157680.0,1707127.0,-104.9390327,39.7735338,2,221,northeast-park-hill,True,False,1
386864,agg-aslt-shoot,aggravated-assault,2023-10-02 17:47:00,2023-10-02 18:16:00,1198 N SHERIDAN BLVD,3125724.0,1692953.0,-105.0529664,39.7351105,1,122,west-colfax,True,False,1
386419,weapon-carrying-concealed,all-other-crimes,2023-10-02 17:27:00,2023-10-02 20:03:00,W 52ND AVE / N ZUNI ST,3136055.0,1713391.0,-105.0158461,39.7910708,2,999,chaffee-park,True,False,1
386604,theft-of-motor-vehicle,auto-theft,2023-10-02 17:27:00,2023-10-02 20:03:00,W 52ND AVE / N ZUNI ST,3136055.0,1713391.0,-105.0158461,39.7910708,1,999,chaffee-park,True,False,1
386407,drug-opium-or-deriv-possess,drug-alcohol,2023-10-02 17:00:00,2023-10-02 18:12:00,2206 E 47TH AVE,3151476.0,1710109.0,-104.9610408,39.7818229,2,212,elyria-swansea,True,False,1
386805,theft-other,larceny,2023-10-02 17:00:00,2023-10-03 11:16:00,4309 N ELATI ST,3142234.0,1707882.0,-104.9939677,39.7758554,1,112,globeville,True,False,1
